id,company_id,year,net_profit_margin_pct,operating_profit_margin_pct,return_on_equity_pct,debt_to_equity,interest_coverage,asset_turnover,free_cash_flow_cr,capex_cr,earnings_per_share,book_value_per_share,dividend_payout_ratio_pct,total_debt_cr,cash_from_operations_cr,revenue_cagr_5yr,pat_cagr_5yr,eps_cagr_5yr,composite_quality_score,sales,net_profit,operating_profit,broad_sector,roe_score,roce_score,npm_score,fcf_score,cfo_score,revenue_score,pat_score,de_score,icr_score,composite_score,sector_composite_score
4315,SIEMENS,Sep 2024,12.22,13.96,17.7,0.02,67.15,0.88,1168.0,2.26,76.0,431.0,16.0,279.0,1670.0,11.19,19.85,19.64,2.0,22240.0,2718.0,3104.0,Industrials,40.25116057612188,0,42.91184550070757,46.006110868616325,20.60281790618869,28.497790868924888,60.517306960821614,99.71759390002823,31.76705895993971,47.22,69.88661142607937
3606,CIPLA,Mar 2024,16.12,75.59,15.55,0.02,35.34,0.79,1152.0,11.57,51.0,351.0,25.0,559.0,4134.0,9.51,27.16,26.69,2.0,25774.0,4154.0,19483.0,Healthcare,33.85311272467563,0,59.14426038458337,45.936272370144046,29.391831639022648,16.126656848306332,88.32255610498288,99.71759390002823,16.399018300577815,49.17,78.15826006478484
4224,POWERGRID,Mar 2024,33.97,86.87,17.87,1.42,4.6,0.18,24176.0,28.61,17.0,99.0,67.0,123516.0,37290.0,3.95,7.28,7.21,2.0,45843.0,15573.0,39826.0,Energy,40.75705273181764,0,100.0,100.0,100.0,0.0,12.704450361354128,79.94916690200509,1.5479158212070263,52.43,100.0
3306,ABB,Mar 2024,20.53,24.84,32.47,0.02,141.75,1.13,797.0,7.11,565.0,1657.0,73.0,83.0,1213.0,8.19,16.73,16.74,2.0,5849.0,1201.0,1453.0,Industrials,84.20426139745267,0,77.49937567635062,44.38673068529027,18.97271268057785,6.406480117820319,48.64967668314949,99.71759390002823,67.80779562100219,55.98,93.76362843436546
3580,CANBK,Mar 2024,13.94,41.75,16.72,14.87,1.61,0.07,13296.0,1.58,17.0,102.0,19.0,1369780.0,15046.0,19.13,,,2.0,110519.0,15401.0,46146.0,Financials,37.33484109034638,0,50.07075668026305,98.94369271060673,68.31460674157303,86.9661266568483,0.0,0.0,0.10338763599822222,44.18,67.81482502066685
4353,TATAMOTORS,Mar 2024,7.26,13.6,37.46,1.26,6.53,1.19,45133.0,5.2,94.0,275.0,7.0,107262.0,67915.0,11.01,,,2.0,437928.0,31807.0,59538.0,Consumer Discretionary,99.05368408522793,0,22.267543494547574,100.0,100.0,27.172312223858615,0.0,82.20841570177916,2.4803370243685627,54.76,99.6745427325392
3541,BOSCHLTD,Mar 2024,14.89,12.52,20.64,0.0,71.78,0.96,1536.0,1.69,844.0,4319.0,44.0,39.0,1253.0,11.75,26.24,26.3,2.0,16727.0,2490.0,2095.0,Consumer Discretionary,49.00011903344839,0,54.024806459668696,47.61239633347883,19.115391474942037,32.62150220913107,84.82312666413084,100.0,34.003903607938625,52.71,93.00266874959317
3865,ICICIGI,Mar 2024,9.37,87.42,15.72,0.0,160.03,0.32,486.0,9.38,39.0,275.0,28.0,35.0,2407.0,15.13,16.09,14.42,2.0,20487.0,1919.0,17910.0,Financials,34.35900488037137,0,31.04969616249063,43.029244871235264,23.23167469234885,57.51104565537556,46.21529098516547,100.0,76.63922546234565,49.32,81.97850647561312
3392,APOLLOHOSP,Mar 2024,4.91,12.56,13.48,0.77,5.57,1.14,383.0,8.06,63.0,522.0,26.0,5333.0,1920.0,12.72,23.16,19.97,2.0,19059.0,935.0,2394.0,Healthcare,27.693131770027374,0,12.486472987596771,42.57965953731995,21.494560370964866,39.764359351988226,73.10764549258273,89.12736515108726,2.016542021759716,43.59,45.88153632577512
4198,PIDILITIND,Mar 2024,14.11,21.87,20.78,0.05,54.33,1.03,955.0,14.29,34.0,171.0,47.0,382.0,2724.0,12.08,11.95,11.55,2.0,12383.0,1747.0,2708.0,Materials,49.416736102844894,0,50.778323482893526,45.07638585770406,24.362404137685036,35.05154639175258,30.467858501331307,99.2939847500706,25.573463195934064,47.84,74.74850171232875
3439,BAJAJ-AUTO,Mar 2024,17.18,19.53,26.61,0.07,174.42,1.14,6486.0,0.16,276.0,1109.0,29.0,1912.0,6558.0,10.32,7.18,7.88,2.0,44870.0,7708.0,8765.0,Consumer Discretionary,66.76586120699916,0,63.55614750686755,69.21868179834134,38.03816657749242,22.09131075110457,12.324077596044122,99.01157865009884,83.5913193035345,54.13,97.62416194753628
4068,LTIM,Mar 2024,12.91,17.98,22.9,0.1,31.93,1.29,1752.0,11.03,155.0,711.0,42.0,2071.0,5670.0,27.83,24.65,12.1,2.0,35517.0,4585.0,6387.0,Information Technology,55.72550886799189,0,45.78373428785483,48.55521606285465,34.87069734260746,100.0,78.77519969570179,98.5879695001412,14.751579801727635,59.08,77.88709458542543
3619,COALINDIA,Mar 2024,26.26,66.29,45.17,0.08,11.24,0.6,13617.0,3.15,61.0,156.0,42.0,6523.0,18103.0,7.87,15.52,15.71,2.0,142324.0,37369.0,94352.0,Materials,100.0,0,100.0,100.0,79.21883360085607,4.0500736377025035,44.04716622289844,98.87037560011296,4.755831255918218,64.28,100.0
4392,TCS,Mar 2024,19.14,26.69,50.94,0.09,87.1,1.66,50429.0,2.53,127.0,281.0,58.0,8021.0,44338.0,9.94,8.6,9.44,2.0,240893.0,46099.0,64296.0,Information Technology,100.0,0,71.7139765254308,100.0,100.0,19.29307805596465,17.725370863446177,98.72917255012709,41.4052988579048,62.82,90.57538336273578
3941,IRCTC,Mar 2024,26.02,34.33,34.4,0.02,82.74,0.7,667.0,5.04,14.0,44.0,47.0,60.0,882.0,14.5,18.53,20.11,2.0,4270.0,1111.0,1466.0,Consumer Discretionary,89.94762528270442,0,100.0,43.81929288520297,17.7920456572142,52.8718703976436,55.49638645872956,99.71759390002823,39.29889655438962,62.61,100.0
3710,GAIL,Mar 2024,7.43,10.74,12.86,0.28,23.62,1.07,4360.0,6.17,15.0,127.0,37.0,21794.0,12586.0,13.41,3.94,5.15,1.0,133228.0,9903.0,14314.0,Energy,25.84811331984287,0,22.975110297178055,59.93889131383675,59.5398608881755,44.84536082474227,0.0,96.04631460039536,10.736854310394806,40.22,67.10026943245357
4366,TATAPOWER,Mar 2024,6.97,17.47,13.23,1.66,3.05,0.44,3569.0,14.69,12.0,105.0,17.0,53689.0,12596.0,16.86,27.32,24.57,1.0,61449.0,4280.0,10735.0,Energy,26.949172717533624,0,21.060517772413217,56.486250545613274,59.57553058676655,70.25036818851252,88.93115252947888,76.56029370234397,0.7990801399114924,50.96,98.21537213546948
4418,TITAN,Mar 2024,6.84,10.36,37.22,1.65,9.41,1.62,1506.0,0.37,39.0,110.0,28.0,15528.0,1695.0,20.94,16.78,16.83,1.0,51084.0,3496.0,5292.0,Consumer Discretionary,98.33948339483392,0,20.519437276284023,47.4814491488433,20.691992152666312,100.0,48.839863065804494,76.70149675232986,3.8717220321951027,56.02,100.0
3671,DMART,Mar 2024,4.99,8.08,13.56,0.03,73.29,2.4,278.0,4.86,39.0,309.0,0.0,592.0,2746.0,18.13,15.89,16.0,1.0,50789.0,2536.0,4106.0,Consumer Discretionary,27.93119866682537,0,12.819445600599352,42.12134439109559,24.44087747458534,79.60235640648013,45.45454545454546,99.57639085004236,34.733414497458796,46.16,71.68521773091192
4159,NTPC,Mar 2024,11.95,28.83,13.27,1.48,4.6,0.37,8644.0,18.01,21.0,174.0,36.0,237131.0,40785.0,11.17,13.63,13.9,1.0,178501.0,21332.0,51456.0,Energy,27.068206165932622,0,41.78806293182385,78.63814927979048,100.0,28.350515463917525,36.858120958539374,79.1019486020898,1.5479158212070263,45.85,83.41107280470494
3465,BAJAJHLDNG,Mar 2024,432.73,91.77,13.58,0.0,3764.5,0.03,1469.0,27.73,653.0,5375.0,20.0,63.0,1941.0,31.84,19.44,19.88,1.0,1702.0,7365.0,1562.0,Financials,27.990715391024867,0,100.0,47.31994762112615,21.569466738006064,100.0,58.957778623050594,100.0,100.0,61.24,100.0
4022,KOTAKBANK,Mar 2024,32.39,83.67,14.01,4.0,1.24,0.07,6766.0,15.86,92.0,654.0,2.0,520374.0,15685.0,13.86,21.26,20.22,0.0,56237.0,18213.0,47052.0,Financials,29.27032496131412,0,100.0,70.44085552160628,70.59390048154093,48.15905743740795,65.88056295169267,43.518780005648125,0.0,50.58,85.45053733810967
3788,HDFCBANK,Mar 2024,23.07,61.41,14.34,6.81,1.4,0.07,35669.0,5.85,84.0,601.0,23.0,3107503.0,19069.0,21.91,21.46,12.72,0.0,283649.0,65446.0,174196.0,Financials,30.252350910605873,0,88.07125613918255,100.0,82.6645264847512,100.0,66.64130848231267,3.8407229596159453,0.0019324791775368637,54.48,96.19729953155138
3954,IRFC,Mar 2024,24.06,99.5,13.04,8.38,1.32,0.05,7906.0,0.03,5.0,39.0,31.0,412039.0,7914.0,14.92,15.42,10.76,0.0,26645.0,6412.0,26513.0,Financials,26.38376383763837,0,92.19179222508949,75.41684853775644,42.874977706438386,55.96465390279823,43.66679345758844,0.0,0.0,44.83,69.60595205290714
